acinar cell	alveolar epithelial cell	amniotic epithelial cell	astrocyte	blood vessel endothelial cell	bronchial epithelial cell	bronchial smooth muscle cell	cardiac fibroblast	cardiac myocyte	cd14+ monocyte derived endothelial progenitor cell	chondrocyte	ciliated epithelial cell	corneal epithelial cell	dendritic cell - monocyte immature derived	endothelial cell of hepatic sinusoid	endothelial cell of lymphatic vessel	enteric smooth muscle cell	epithelial cell of malassez	epithelial cell of prostate	fat cell	fibroblast of choroid plexus	fibroblast of gingiva	fibroblast of lymphatic vessel	fibroblast of periodontium	fibroblast of tunica adventitia of artery	gingival epithelial cell	hair follicle cell	hepatic stellate cell	immature langerhans cell	keratinocyte - epidermal	keratocyte	kidney epithelial cell	lens epithelial cell	lymphocyte of b lineage	macrophage	mammary epithelial cell	mast cell	melanocyte - light	mesenchymal precursor cell	mesenchymal somatic cell	mesenchymal stem cell - adipose	mesenchymal stem cell - amniotic membrane	mesenchymal stem cell - bone marrow	mesenchymal stem cell - hepatic	mesenchymal stem cell - umbilical	mesothelial cell	migratory langerhans cell	monocyte	multipotent cord blood unrestricted somatic stem cell	myoblast	natural killer cell	neuron	neuronal stem cell	neutrophil	osteoblast	pericyte cell	placental epithelial cell	preadipocyte	reticulocyte	retinal pigment epithelial cell	sensory epithelial cell	skeletal muscle cell	skin fibroblast	small airway epithelial cell	smooth muscle cell of prostate	smooth muscle cell of trachea	stromal cell	t cell	tendon cell	trabecular meshwork cell	tracheal epithelial cell	urothelial cell	vascular associated smooth muscle cell
asthma	1	0.116324585786898	0.959796148116128	1	1	2.22642633646667e-280	5.20138796267808e-175	1	1	0.00246248521893546	1	1	1	7.36037114233351e-87	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99999956512052	1	1	1	1	0.999957076625051	0.000110539951900686	1	8.39516345413446e-320	1	0.999999999994202	0.999999999994202	0.987775002084403	1	0.999999995955321	1	0.879354630690508	1	0.99999956512052	0.00246248521893546	0.879354630690508	0.99999999945536	0.999676905738267	1	1	4.84354825128259e-294	1	1	0.99735453728686	1	1	1	1	1	1	8.39516345413446e-320	1	2.96087878097834e-56	1	8.39516345413446e-320	1	1	1.09730393150903e-11	1	0.999998675529993
atherosclerosis	0.260837181874919	1	1	0.999999999907768	8.39516345413446e-320	0.946780559446197	1	0.9533624724373	0.998908146313286	8.39516345413446e-320	0.712666048477704	8.39516345413446e-320	1	2.80107853862617e-61	1.38943436123641e-14	1	1	1	1	2.22430293911859e-40	1	1	1	0.932566353371586	4.18122059032431e-07	1	1	1	0.946339231236509	0.99999955515695	1	0.994337111351357	1	0.563541606431569	8.39516345413446e-320	1	6.85982121344206e-09	1	0.0114781033191509	0.0114781033191509	0.601269297293514	1	8.39516345413446e-320	1	1	8.39516345413446e-320	0.946339231236509	8.39516345413446e-320	1	0.581691143603339	0.951573482614375	1	1	1.57430136266635e-08	0.487498819998292	0.00224099097748948	0.710330965056841	0.0168405688522773	1	1	8.39516345413446e-320	0.999999998476006	0.89512776983509	0.994907401730696	1	1	0.320316559669658	3.61317723549954e-43	1	1	1	1	8.39516345413446e-320
attention deficit disorder with hyperactivity	1	1	1	0.999999980378039	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999446003425949	1	1	1	1	1	1	1	1	1	1	1	1	0.999999999995218	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
autistic disorder	1	1	1	0.900089543065024	0.999474964090891	1	1	1	0.999999995960536	0.999999973311605	1	1	0.848526646679704	0.999999999268658	0.999999976787452	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999996671458065	1	1	1	0.999999999999203	1	1	0.99186930833685	0.997468377449787	0.999965294021965	0.999965294021965	1	1	1	1	1	1	1	0.999999973311605	1	1	0.99998082654225	1.75072464843073e-08	0.686259666571708	1	1	1	1	1	1	1	1	1	0.989890553506574	1	1	1	0.999999993713824	1	1	1	1	1	1
behcet syndrome	1	1	1	1	0.681653329499243	1	1	1	1	1.8006604331253e-05	1	0.999999999999996	1	0.167062123403611	1	1	1	1	1	1	1	1	1	1	1	0.284861753319129	1	1	0.000217031843612887	0.980588504294593	1	1	1	0.260450244201463	0.99840903595915	1	0.352172762225689	0.938102575413117	1	1	1	1	0.222096964976966	1	1	0.999999999999996	0.000217031843612887	1.8006604331253e-05	1	1	1.68109589495186e-07	1	1	3.03562031115554e-70	1	1	1	1	0.962807089549334	1	0.999999999999996	1	1	1	1	1	1	1.23440780504157e-55	1	1	1	1	1
bipolar disorder	1	1	1	0.996339306868751	0.999999661465263	1	1	1	0.999999999999999	0.999999999999974	1	1	1	1	0.999999999999999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999999999974	1	1	0.999999999999986	1	0.990793292398989	1	1	1	1	1	0.999999129772923	1	1	1	0.99721848641535	1	1	1	1	1	1	1	1	1	1
cardiomyopathies	1	0.720314396508599	1	1	0.000161383498827259	1	1	2.31741155873238e-218	8.39516345413446e-320	0.999999270402398	0.999999999999999	1	1	0.99999999999909	1	0.631488890617581	1	1	1	0.999977776312599	1	1	1	1	0.046833141205783	1	1	0.906476277916256	0.999999782599591	1	1	0.999999999809495	1	1	0.999944445900314	1	0.0174397518169542	0.999999999485092	3.46192770575564e-05	3.46192770575564e-05	0.804753191570866	1	1	1	0.766357326862108	1	0.999999782599591	0.999999270402398	0.766357326862108	4.00745364009573e-28	0.988988531728575	1	1	1.35978522336963e-71	1	0.620762553933813	1	0.991938631496112	0.999999999999992	1	1	8.39516345413446e-320	0.999170898086104	1	1	1	0.485742598433928	0.498394646211324	1	1	1	1	0.967946951572314
cardiomyopathy, hypertrophic	1	1	1	1	1	1	1	2.45210601425122e-09	8.39516345413446e-320	0.999999995845033	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.979110714069662	1	1	1	1	0.999931288518132	0.988302061697049	0.999519130376978	0.999519130376978	1	1	1	1	1	1	1	0.999999995845033	1	0.75911447988131	0.999999974673437	1	1	0.999999999999984	1	1	1	1	1	1	1	1.2057898241654e-276	0.998059312538681	1	1	1	0.99999920943387	1	1	1	1	1	0.839628737276484
cardiovascular diseases	0.999999998975077	0.999397933296693	1	1	8.39516345413446e-320	1	1	2.27166443301347e-319	8.39516345413446e-320	0.999999999986536	1	1	1	1	1	0.999998190232103	0.999946682495573	1	1	1	1	1	0.656368931290955	1	9.34309024832082e-06	1	1	1	1	1	0.999928190198192	1	1	1	1	1	1	1	0.999999999997815	0.999999999997815	0.999999997744654	0.986360555068445	1	0.980913091824602	0.999962366995273	1	1	0.999999999986536	0.999962366995273	1.3424743982635e-13	1	1	0.999999942455952	0.99999999999994	1	6.90244027647757e-33	1	1	1	0.999262264342489	1	3.66467880276649e-76	1	1	1	1	1	1	0.999971491361831	1	1	0.999992710049595	4.48278080191603e-300
carotid atherosclerosis	1	1	1	0.999998944624237	4.976162199497e-64	1	1	0.966335031241374	0.999999999999975	0.000185656573244036	0.999999635258028	1	1	0.99999999883309	1	1	1	1	1	0.999999662824695	1	0.960591027089532	1	0.989865795092791	0.0244974243539192	1	1	1	1	0.999999999999894	1	1	1	1	5.37385426680358e-20	1	0.999999844612664	1	0.99542873622348	0.99542873622348	1	1	0.999999999935395	1	1	1	1	0.000185656573244036	1	0.508143754889348	1	1	1	0.999999999999978	1	0.891378608946926	1	0.711040907870903	1	1	1	1	0.999999997682807	1	1	1	0.999999920004628	1	1	1	1	1	1.52069482951775e-227
