acinar cell	alveolar epithelial cell	amniotic epithelial cell	astrocyte	blood vessel endothelial cell	bronchial epithelial cell	bronchial smooth muscle cell	cardiac fibroblast	cardiac myocyte	cd14+ monocyte derived endothelial progenitor cell	chondrocyte	ciliated epithelial cell	corneal epithelial cell	dendritic cell - monocyte immature derived	endothelial cell of hepatic sinusoid	endothelial cell of lymphatic vessel	enteric smooth muscle cell	epithelial cell of malassez	epithelial cell of prostate	fat cell	fibroblast of choroid plexus	fibroblast of gingiva	fibroblast of lymphatic vessel	fibroblast of periodontium	fibroblast of tunica adventitia of artery	gingival epithelial cell	hair follicle cell	hepatic stellate cell	immature langerhans cell	keratinocyte - epidermal	keratocyte	kidney epithelial cell	lens epithelial cell	lymphocyte of b lineage	macrophage	mammary epithelial cell	mast cell	melanocyte - light	mesenchymal precursor cell	mesenchymal somatic cell	mesenchymal stem cell - adipose	mesenchymal stem cell - amniotic membrane	mesenchymal stem cell - bone marrow	mesenchymal stem cell - hepatic	mesenchymal stem cell - umbilical	mesothelial cell	migratory langerhans cell	monocyte	multipotent cord blood unrestricted somatic stem cell	myoblast	natural killer cell	neuron	neuronal stem cell	neutrophil	osteoblast	pericyte cell	placental epithelial cell	preadipocyte	reticulocyte	retinal pigment epithelial cell	sensory epithelial cell	skeletal muscle cell	skin fibroblast	small airway epithelial cell	smooth muscle cell of prostate	smooth muscle cell of trachea	stromal cell	t cell	tendon cell	trabecular meshwork cell	tracheal epithelial cell	urothelial cell	vascular associated smooth muscle cell
depression	1	1	1	0.999999931546968	0.999999999999981	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.851683292891405	1	0.999994094732723	1	1	1	1	1	0.99999999999999	1	1	1	0.999999999999949	1	1	1	1	1	1	1	1	1	1
depressive disorder, major	1	1	1	0.017155763230864	1	1	1	1	0.999999999878051	0.999999995723912	1	1	1	1	0.999999999038148	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999995723912	1	1	0.505277665410681	0.999999999594606	0.93958899511858	1	1	1	1	1	1	1	1	0.999999999999421	0.999950494819587	1	1	1	1	1	1	1	1	1	1
diabetes mellitus	1.0794369989246e-07	1	0.99926776351729	1	7.10713028896986e-51	1	1	0.995231742589704	1.63531842013349e-05	0.358729174749765	1	1.90188881315932e-165	0.99998936946443	0.999926902366571	0.00227070117739109	0.986840992786135	0.866780879687787	0.944200918871099	0.999999182014062	8.39516345413446e-320	1	0.99994486534037	1	0.999994472068161	1	0.840505946834427	1	0.999966343749537	0.999999534973179	1	0.859667435020403	2.53538871571061e-131	1	1	1	0.999999999993327	1	1	0.804826814935622	0.804826814935622	0.432472294589604	0.792700809530235	1	0.13016233755936	0.292768757018784	1.90188881315932e-165	0.999999534973179	0.358729174749765	0.292768757018784	0.998120790299888	1	1	0.999999995800041	1	1	5.47243984416354e-87	0.893510132309798	1.40031571775098e-28	1	0.00273121351718154	1.90188881315932e-165	0.966935381600474	0.349108637510702	1	1	1	0.999999999999986	2.6859781687536e-36	1	1	0.999999991962558	1	1.01965380373888e-07
diabetes mellitus, type 1	0.000222145575002623	1	0.843302593561338	1	0.37783929971866	1	1	0.9980084393532	0.999939425968362	1.36320735198892e-09	0.999999999862329	1.16661056725355e-121	0.930334216820633	3.58108983651611e-60	0.999980552922138	1	1	0.432052853233523	0.984659099902448	0.747279708214926	1	0.600713533907655	1	0.752237462006975	1	0.522474737019055	1	0.964375490548805	0.995876712986192	1	0.315958409319666	0.0428992094716142	1	1.40255257212103e-32	0.668506989040887	1	1	1	0.100737231246063	0.100737231246063	0.0443039174280416	1	0.969594221793521	0.404320071416119	0.124254215097199	1.16661056725355e-121	0.995876712986192	1.36320735198892e-09	0.124254215097199	0.998404351717126	1.65728339034356e-26	1	0.99438246289846	0.994966000468946	0.999999997220651	0.155175392248097	0.66413508031365	0.220754883564598	0.999999958338273	1	1.16661056725355e-121	0.999999998938644	0.0392944512485296	0.999999999999972	1	1	0.85434468649366	8.39516345413446e-320	1	1	0.985152555500748	1	0.984594934209469
diabetes mellitus, type 2	0.00122545422913696	1	1	1	1.12873493675856e-09	1	1	0.991089150392666	0.940828373356926	5.70562290743138e-09	1	3.02920841598843e-188	0.997417790318442	1	5.33083687632694e-11	0.688031418006696	1	0.870797418401193	1	8.39516345413446e-320	1	0.932235301601918	1	0.945137156673878	1	0.340781355942203	1	0.990327982028506	0.999996978922239	0.999999999999753	1	6.98039016700505e-13	1	1	1	0.99960611615599	1	0.999999999999987	0.999997662820276	0.999997662820276	0.469348261519688	1	1	1	1	3.02920841598843e-188	0.999996978922239	5.70562290743138e-09	1	0.191044863654074	1	1	0.999711811861942	0.999999019053151	0.999999999999992	6.63219715641916e-05	0.991442577608502	5.85037930873468e-23	0.999999999996377	1	3.02920841598843e-188	0.00125857784483266	0.997112166043313	1	1	1	0.999999999999996	1	1	1	1	1	0.00221407801914919
diabetes, gestational	0.0909379796695344	1	0.190751656726584	1	0.422541068147236	1	1	1	0.999792764583808	0.999755872117341	1	0.953414261375751	1	1	0.996107533001386	1	1	1	1	0.407371669729305	1	1	1	1	1	1	1	1	1	1	1	0.854390881457656	1	0.999999972518826	0.999999999999996	1	0.999234280693095	1	1	1	1	1	0.999999999999985	1	1	0.953414261375751	1	0.999755872117341	1	0.801785661327549	0.999966939207121	1	1	0.999999790971499	1	1	3.50231537584244e-06	0.369844651590766	1	1	0.953414261375751	1	1	1	1	1	1	1	1	1	1	1	1
diabetic nephropathies	1	1	1	0.99999999842414	0.217683925586513	1	1	0.932039344089797	0.999999999942803	0.987561296722041	0.999893449819012	3.09554872403573e-18	1	0.999999999999862	0.999999080975843	1	1	1	1	0.61355960504336	1	1	1	1	1	1	1	1	1	1	1	8.39516345413446e-320	1	1	0.755062206943501	1	0.999734569862248	1	0.931068063286292	0.931068063286292	0.553595010395519	1	1	1	1	3.09554872403573e-18	1	0.987561296722041	1	0.988893470324776	0.999999999989676	1	1	0.999999999929544	0.999833387917701	2.59396681058581e-05	1	1	0.999821622321478	1	3.09554872403573e-18	0.999999999993141	2.55203915450427e-05	0.999998894901382	1	1	0.999905229434228	1	1	1	1	1	1
endometriosis	1	1	1	1	0.960492699277429	1	1	1	1	0.11456718762643	1	0.967374203239123	1	0.999997270298062	1	0.208541278178581	1	1	1	0.999964321298416	1	1	1	1	1	1	1	1	1	0.999980784334723	1	1	1	0.999997813451443	1.23081065214328e-37	0.792784275040688	0.1699463072472	1	0.857857863911007	0.857857863911007	1	1	0.999999999998463	1	1	0.967374203239123	1	0.11456718762643	1	1	1.04978677616445e-41	1	1	0.996993297141303	0.999999939441126	1	0.24788292940095	1	1	1	0.967374203239123	1	1	1	1	1	8.39516345413446e-320	0.999999999986966	1	1	1	1	1
epilepsy	1	1	1	2.90800560571418e-177	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999985197661505	1	0.999999861317307	1	1	1	1	0.999999999428888	1	1	1	1	1	1	1	1	0.999999999981379	1	1	1	1	1	1	0.924642319674238	1	0.999999999428888	1	0.924642319674238	0.999999999548301	1	8.39516345413446e-320	0.298379668578347	1	1	1	1	0.999810735099902	1	1	1	1	0.999999999999999	1	1	1	1	1	1	1	1	1	0.999999998020441
glaucoma, open-angle	1	1	0.272708201687268	0.00213582424873435	0.993168505140468	1	1	1	1	1	1	1	7.91759718996195e-07	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999758266642667	6.88323260885538e-07	1	1	0.999999999999471	1	1	0.999979485130622	0.00741559896108426	1	1	1	1	1	1	1	1	1	1	1	1	1	1.5349474183024e-193	1	0.999999999999977	1	1	1	1	1	1	1	1	1	0.749485476493356	1	1	0.999996154858625	1	1	0.0081753978602962	1	1	1
glomerulonephritis, iga	1	1	1	1	0.196500109942242	1	1	1	1	4.44533485188737e-25	1	0.00162563622507465	1	0.313612807083546	1	1	1	1	1	0.782353994215505	1	1	1	1	1	1	1	1	1	1	1	1.05159700101746e-100	1	1.74187033299793e-39	6.49239072308893e-12	1	0.012483472366797	1	1	1	1	1	1.34460866487007e-10	1	1	0.00162563622507465	1	4.44533485188737e-25	1	1	0.105098948057129	1	1	0.0578112984377057	1	1	1	1	0.881874219842682	1	0.00162563622507465	1	0.920704490797859	0.0572376387863545	1	1	1	2.2698954117682e-31	1	1	1	0.0459416540031101	1
graft vs host disease	1	1	1	0.999999792606804	0.989492137433957	1	1	1	1	3.75377153923285e-09	0.997650440015321	4.16058319833668e-38	0.87573715203613	1.76628170349314e-244	0.992998839703253	1	1	1	1	0.993066541878693	1	1	1	1	1	0.548905856076103	1	0.616635931122544	8.50047612204887e-41	1.08756599193506e-15	1	0.929374940019312	1	2.41475228396349e-169	0.132930208795009	1	0.000991012180606885	0.989711534617711	4.9673836430195e-141	4.9673836430195e-141	0.166261443941301	1	8.39516345413446e-320	1.76925456811891e-05	1.85697602179556e-06	4.16058319833668e-38	8.50047612204887e-41	3.75377153923285e-09	1.85697602179556e-06	0.983003963802946	8.39516345413446e-320	1	1	1.25379651933876e-30	0.999829994981636	1	1	1	0.663137885945567	1	4.16058319833668e-38	1	0.00147159179172071	0.984353987817436	1	1	1.91669556758247e-126	8.39516345413446e-320	1	1	1	1	1
graves disease	1	1	1	1	1	1	1	1	0.999864404315198	0.00186011181467972	1	0.999627757212361	0.817137565021281	0.348118021570696	0.999540744537051	1	1	1	1	1.08044465606234e-20	1	1	1	1	1	1	1	1	0.950937716176757	0.999988282408872	1	0.999086007017133	1	1.23889399581254e-72	0.999999999894948	1	0.978770466991086	1	0.999903307052549	0.999903307052549	1	1	0.976253205523709	1	1	0.999627757212361	0.950937716176757	0.00186011181467972	1	1	2.22631921628143e-10	1	1	0.999638700634418	0.999501389606497	1	1	2.09599765524104e-12	1	1	0.999627757212361	0.99971440203527	1.18434558090389e-07	0.9999596603974	1	1	0.999993265063424	1.0492456041602e-187	1	1	1	1	1
heart diseases	1	0.999981845770369	0.999999999970007	1	4.6531453733441e-06	1	1	8.39516345413446e-320	8.39516345413446e-320	1	1	1	1	1	1	0.999947423544859	0.99698722407216	0.999999999694475	1	1	1	1	0.472315994698541	1	0.115401755193927	1	1	1	1	1	1	1	1	1	1	1	1	1	0.118874974808096	0.118874974808096	0.999936884305505	0.82573258371846	1	0.996046739146458	0.999692316964749	1	1	1	0.999692316964749	2.51944415602977e-88	1	1	1	1	1	0.999997395742153	1	1	1	0.999991257164657	1	8.39516345413446e-320	1	1	1	1	1	1	1	1	1	1	0.0103805776577255
hepatitis b	0.466692372337875	1	1	1	0.999999999676813	1	1	1	1	0.270002355145208	1	0.0695428120967237	1	1.79573131999489e-21	1.54852082156225e-295	1	1	1	1	0.999999999970757	1	1	1	1	1	1	1	4.1642356830308e-07	0.999938114756394	1	1	0.999859706328603	1	8.41286730391287e-06	1	1	1	1	0.999972609307097	0.999972609307097	1	1	1	0.0586579134391961	0.600831687889276	0.0695428120967237	0.999938114756394	0.270002355145208	0.600831687889276	1	1.23029773647387e-21	1	1	0.999999999999806	1	1	0.727984139338347	1	0.999999972257479	1	0.0695428120967237	1	0.999999999971673	0.999999999999748	1	1	0.99999999999924	3.2061406635508e-263	1	1	1	1	1
hepatitis b, chronic	0.125794857147389	1	1	1	1	1	1	1	1	3.03443641881575e-05	1	6.50799106280647e-43	1	1.1813381313641e-53	7.00393207550596e-195	1	1	1	1	0.997273010454535	1	1	1	1	1	1	1	1.04126121529237e-07	1	1	1	0.991853944358468	1	0.487721265471146	0.99999958870629	1	0.999959609910337	1	0.952059647616057	0.952059647616057	1	1	0.943932623127591	1	1	6.50799106280647e-43	1	3.03443641881575e-05	1	1	3.97950355398588e-16	1	1	0.999966436822381	1	1	1	1	1	1	6.50799106280647e-43	0.999999612133359	1	0.999046385000059	1	1	0.999318192514343	3.63207708629741e-195	1	1	1	1	1
hepatitis c	1	1	1	1	0.999997900179964	1	1	1	1	5.72015879873783e-05	1	1.95703672075616e-20	1	3.84163483794722e-41	8.39516345413446e-320	1	1	1	1	0.999993706936426	1	1	0.0805767364000968	1	1	1	1	2.1396451330958e-55	0.999954513051236	0.999999998840945	1	0.999915528972369	1	6.83538800476268e-25	1	1	0.999999999999903	1	0.999999999741913	0.999999999741913	1	1	0.999999999996343	0.33132799013624	1	1.95703672075616e-20	0.999954513051236	5.72015879873783e-05	1	1	3.57343800851878e-59	1	1	0.999999999999984	1	1	0.929984973533631	1	0.999999834510096	1	1.95703672075616e-20	1	1	1	1	1	1	2.64690412444675e-285	1	1	1	1	1
hepatitis c, chronic	1	1	1	1	0.999592825670796	1	1	1	1	2.40909035646267e-09	1	2.03462284852344e-31	1	5.96496713724403e-42	1.25062141113187e-233	1	1	1	1	0.927419837974488	1	1	0.0286666898585538	1	1	1	1	7.27213086326248e-48	1	0.998978568367117	1	0.986604700363308	1	2.95718368939133e-19	0.999984274766755	1	0.999992631690041	1	0.998329218286912	0.998329218286912	1	1	0.798394605873839	1	1	2.03462284852344e-31	1	2.40909035646267e-09	1	1	1.67795368458867e-47	1	1	0.999225340405813	0.999999888166853	1	1	1	0.999332242531094	1	2.03462284852344e-31	0.999999999980478	1	1	1	1	0.999999296262837	9.20419522823150e-197	1	1	1	1	1
hiv infections	1	1	1	6.851953464262e-09	1	0.999999999997844	1	0.999999999999982	1	4.73963206217761e-245	1	1	0.999999999953431	1.71533777005038e-224	1	1	1	0.973401656067323	0.999977113273622	0.999999828492243	1	0.999999354524391	1	0.999999999667106	1	0.991971242271821	1	0.871528338093248	6.18781299497076e-45	1	1	0.999637285574951	1	9.89783490679315e-41	2.86093896221865e-71	1	1	1	1	1	1	1	9.02324530558287e-23	1	1	1	6.18781299497076e-45	4.73963206217761e-245	1	1	2.86035997663556e-127	1	0.999999999999088	1	1	0.999850345515791	0.998760270303455	0.99996453819565	1	1	1	1	1	1	1	1	1	8.39516345413446e-320	1	1	1	1	1
hypercholesterolemia	1	1	1	0.999999742188083	1.92804683404097e-17	0.94543570824278	1	0.361215457598985	0.99875421596997	2.89776410931385e-38	1	1	0.925967994946118	0.999999425251129	9.98030732617456e-05	1	1	1	0.776707438970919	0.00229500886740372	1	1	1	1	1	1	1	0.336072414024862	1	0.999999972175805	1	0.999741297154224	1	1	4.12065434279968e-72	0.867718561882816	0.999865429495217	1	0.995033949695092	0.995033949695092	1	1	3.01417859016399e-07	1	1	1	1	2.89776410931385e-38	1	0.962377865104934	0.9999999214592	1	1	0.997969399480542	0.999999004757339	1	0.707261360185332	0.765765217900528	0.965732668772868	1	1	0.970593330673364	1.59856820434602e-06	0.999999815049231	1	1	0.999997278757143	1	1	1	1	1	1.5519889394937e-11
hypertension	1	1	0.987576768524737	1	4.31053443970924e-11	1	1	6.49066277639627e-13	5.88647803330716e-09	1	1	1	1	1	1	1	1	1	0.999999446523416	0.998275968767037	1	1	1	1	1	0.9992456165724	1	0.99987301243635	1	1	1	0.000875465513090141	1	1	1	1	1	1	1	1	0.999843168276197	1	1	1	1	1	1	1	1	1	1	1	0.999999999999316	1	1	0.261427892197727	0.829309211276287	0.999986845019667	1	1	1	0.999999999814725	1	1	1	1	1	1	1	1	1	0.609973672302719	2.26811910732882e-37
hypertrophy, left ventricular	1	1	1	1	0.427149289221902	1	1	8.20471515773784e-48	8.39516345413446e-320	0.996584841232945	1	1	1	1	1	1	1	1	1	0.790419792029222	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999999999997	1	0.696790785296119	1	0.924996114444676	0.924996114444676	1	1	0.999999999999997	1	1	1	1	0.996584841232945	1	0.725316945842949	1	1	1	0.999999999970314	0.999978804462444	1	1	0.518722010910555	1	1	1	1.07109960657843e-49	1	1	1	1	0.996572740430143	1	1	1	1	1	0.509651091194078
infertility, male	1	1	1	1	1	0.950527188950541	1	1	1	0.999999999999976	0.999977166213246	1.8793906379797e-77	1	0.999999999936401	0.999999999659857	1	1	1	0.0718457337646452	0.99758133516064	1	1	1	1	1	1	1	1	1	1	1	0.924565509405097	1	1	1	0.876430785446711	0.0217340899351114	0.999801472448181	0.999716484602005	0.999716484602005	0.610289620861028	1	1	1	1	1.8793906379797e-77	1	0.999999999999976	1	1	0.999999998852257	1	1	0.999999999990882	0.999999994041011	1	1	1	1	1	1.8793906379797e-77	1	0.908819364563825	0.999998130536304	1	1	0.999999708249724	1	1	1	1	1	1
inflammatory bowel diseases	1	1	1	1	0.997870005092427	1	1	1	1	5.77464380125083e-62	0.999999999999475	8.6981282892605e-11	0.999190624004075	1.07288300733906e-34	1	0.560438568428797	9.4337881352486e-15	1	1	0.998551724702562	1	1	1	1	1	1	1	1	0.99511466990328	1	0.311146918295968	0.999999999999816	1	4.03423423310151e-20	3.62179249377935e-28	0.99604156708388	3.32810815855014e-29	0.999999999839538	0.795451621323346	0.795451621323346	0.453775733528302	1	6.15455873661792e-24	1	1	8.6981282892605e-11	0.99511466990328	5.77464380125083e-62	1	0.999999091046614	0.000416737319106979	1	0.999871987069917	1.6240999542715e-80	0.999999999999964	0.970836339169834	1	0.98111325479408	0.999927511933782	1	8.6981282892605e-11	1	0.999999999990479	0.360681576938039	1	1	0.984895966858527	5.02082929460206e-304	1	1	1	1	1
intracranial aneurysm	1	1	1	0.999999999836774	0.0325248981205041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99999993730056	1	0.999999110262348	0.999999110262348	1	1	1	1	1	1	1	1	1	0.993286659265564	0.999999999999986	1	1	1	1	1	1	1	1	1	1	1	0.988373267647114	1	1	1	0.999999999992551	1	1	1	1	1	0.647884877246436
ischemic stroke	1	1	0.924756486889391	2.16717756705709e-160	2.42383625999241e-08	1	1	0.999992640548048	1	0.999999999999593	1	1	1	1	1	1	1	1	1	0.999999999947302	1	1	1	1	1	1	1	1	0.999999984201977	1	1	0.999999999999999	1	1	1	1	1	1	3.81998598157279e-11	3.81998598157279e-11	0.686811064992618	1	1	1	0.00182558710206312	1	0.999999984201977	0.999999999999593	0.00182558710206312	0.999999946638461	1	7.73292920340437e-161	6.2932394185521e-57	0.999999992508185	1	3.37616086389917e-07	1	1	0.999999999999975	1	1	1	1	1	1	1	2.18528758616195e-14	1	1	1	1	1	0.990498416583305
kidney diseases	0.919933745697879	0.975013875514494	0.998485916451041	1	0.99873514581325	1	1	0.999999987450886	1	0.0759012157534154	1	1	1	1	1	1	1	0.997119624448549	0.999999999777612	1	1	1	1	1	1	1	1	0.999999999846461	1	1	1	8.39516345413446e-320	1	0.999955448210478	0.999999679300381	1	1	1	0.999999990331491	0.999999990331491	0.805666018049648	1	1	0.677925085506243	0.828283865259037	1	1	0.0759012157534154	0.828283865259037	1	0.716696912135261	1	1	1.72758438729668e-08	1	8.5026660617055e-05	0.999999794798643	0.999999999484526	0.557726302934869	1	1	1	0.999999986822995	1	1	1	1	1	1	1	0.999999999987855	6.54211822316769e-09	0.939513590966048
kidney failure, chronic	1	1	1	1	0.922220876261044	1	1	0.999979516471713	1	0.115587211895745	0.999997909060308	1	1	1	1	1	1	1	1	0.999999937259017	1	1	1	1	1	1	1	1	0.999988585865272	1	1	5.9351040425772e-27	1	1	1	1	0.999999999999999	1	0.999999948730903	0.999999948730903	0.627360656930491	1	0.65836540226753	1	1	1	0.999988585865272	0.115587211895745	1	0.999983357545235	1	1	1	0.0113176101930255	0.108704566570866	0.989860893993794	1	0.994233413248996	7.41844384402492e-15	1	1	1	0.999999999999817	1	1	1	1	1	1	1	1	1	0.0030956082795428
lupus erythematosus, discoid	1	1	1	1	1	1	1	0.305758599878269	0.828837279351952	0.0583263110398154	1	0.796787822068796	1	0.00828748195485753	1	1	1	1	1	0.21138249674928	1	1	1	1	1	1	1	1	0.000274915509815745	1.02563929120664e-10	1	1	1	0.000105712471988302	0.183266361546074	1	0.933311088465564	0.260555286687442	1	1	1	1	0.678857001257289	1	1	0.796787822068796	0.000274915509815745	0.0583263110398154	1	1	0.900251080950732	1	1	6.72226117300541e-40	1	1	1	1	0.690100578986071	1	0.796787822068796	0.904711076844076	0.0138168279473414	1	1	1	1	2.66919928271174e-12	1	1	1	1	1
lupus erythematosus, systemic	0.487180701535431	1	1	0.999999999999998	0.0315945454308655	1	1	0.905431975134592	0.999999997035387	4.13646930170804e-145	0.999998608787945	0.95865039289177	0.996977261294772	1.08728646349411e-104	0.999999999999955	1	1	1	0.964607743011619	0.999999999994451	1	1	0.0828605643329008	1	1	1	1	1	0.156765228621288	0.217424972122883	1	1.78822323186091e-38	1	8.39516345413446e-320	2.33323585027925e-12	1	0.999999584868062	0.999987208643822	0.813470544839308	0.813470544839308	1	1	6.27335093771482e-93	1	0.075504198749177	0.95865039289177	0.156765228621288	4.13646930170804e-145	0.075504198749177	1	3.41656543621277e-27	1	1	8.39516345413446e-320	1	1	0.935285252963487	0.960625781635907	0.914720118180129	1	0.95865039289177	1	0.895765258085661	0.999999935332478	1	1	0.998682249626978	8.39516345413446e-320	1	1	1	1	1
lupus vulgaris	1	1	1	1	1	1	1	1	1	0.402062560755039	1	0.94710777326093	1	0.00265742940401244	1	1	1	1	0.0985241764600211	1	1	1	1	1	1	1	1	1	0.00427781411900631	0.338509773279558	1	0.52372512207522	1	7.48970035748619e-10	0.16557723185329	1	0.0731895412634705	1	0.624639248217743	0.624639248217743	0.0611214554168826	1	0.733358915026869	1	1	0.94710777326093	0.00427781411900631	0.402062560755039	1	1	0.655696412077545	0.999999997547345	1	0.172439515290067	1	1	1	1	1	1	0.94710777326093	1	0.551086137585225	1	1	1	0.835042627815297	1.81975861983667e-13	1	1	1	1	1
macular degeneration	1	1	1	0.983628278771933	0.139081562858881	1	1	1	0.999999911364382	0.999999970176086	0.999427163946692	1	0.121632238504298	0.999999989845713	0.999973342745202	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999952425945253	1	1	1	1	0.999368392495706	1	1	0.147661535899325	0.999593329293524	0.999593329293524	1	1	1	1	1	1	1	0.999999970176086	1	1	0.999999998340732	4.9190379726176e-42	0.906187796081327	1	1	0.239572126659936	1	1	1	1.12623991909829e-63	1	0.99999999880855	0.997805887204661	0.999986236315488	1	1	0.999999865313529	1	1	0.0123057517219949	1	1	1
malaria	1	1	1	0.999999999999516	0.99508820373762	1	1	1	1	7.92376886838148e-21	1	1	1	2.06194971369688e-10	4.64274784614708e-33	1	1	1	1	0.999999999999947	1	1	1	1	1	1	1	1	1	1	1	0.999999955298829	1	2.558454616922e-13	3.56198059572363e-12	1	0.99999999999997	1	0.999999999999825	0.999999999999825	1	1	3.19977207755246e-17	1	1	1	1	7.92376886838148e-21	1	0.977079093241262	2.76154473250505e-05	1	0.999505750165512	0.999998840634166	1	0.950316480059935	0.0263653515785255	1	4.88588579051762e-92	1	1	1	0.999999999941343	0.999999999999842	1	1	1	8.91270883011487e-188	1	1	1	1	1
malaria, falciparum	1	1	1	0.927468003604724	0.0440544938307569	1	1	1	0.999999971348684	3.1262790494585e-30	1	0.987699691722994	1	0.00181962649174468	4.56524892805088e-05	1	1	1	1	0.999811154884378	1	1	1	1	1	1	1	1	1	1	1	0.999074699377679	1	0.00250841696069499	0.328141841119904	1	0.999948461408962	1	1	1	1	1	1.75508654606609e-07	1	1	0.987699691722994	1	3.1262790494585e-30	1	0.963631234060563	3.85773045161781e-05	1	0.881798902957363	0.620175866101042	1	0.569200165900828	0.000182809327508906	1	0.000331050222560692	1	0.987699691722994	1	1	0.999958936791577	1	1	0.999999233223898	3.73795171355384e-86	1	1	1	1	1
meningococcal infections	1	1	1	0.999466660054238	0.939584942251138	1	1	1	0.999237039070422	0.0566800892483499	1	1	1	0.999683517060817	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.894323970702616	0.999999470699121	1	1	1	1	1	1	1	0.997085661208589	1	1	1	1	0.0566800892483499	1	1	0.999910099746	1	1	4.46954489998108e-10	1	1	1	1	0.985420429863581	1	1	0.999999358885854	1	0.35884824330232	1	1	1	0.999999999996496	1	1	1	1	1
mental disorders	1	0.999999118660709	0.999999999993629	4.60771227816407e-76	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.991729289475322	1	1	0.99999999550327	1	1	1	0.99999999550327	1	1	1.4872699902576e-190	0.616061861711829	1	1	0.999997609607923	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
metabolic syndrome x	1	1	1	0.999999998121748	0.0125475694210338	1	1	0.744931990944959	0.557159150185673	0.446786976529893	0.998838189066587	0.999995139831922	1	0.999999999163669	1.76141204480839e-07	1	1	0.370668966697194	1	1.6893574927972e-282	1	1	1	1	1	0.581711234921737	1	0.0221027685907369	1	0.999996154914895	1	0.237054695435672	1	1	0.977166264298705	1	0.999979649689574	0.9992774554635	0.999634637149302	0.999634637149302	0.550465886883636	1	0.999999999999984	0.150470406933723	1	0.999995139831922	1	0.446786976529893	1	0.650860656092973	0.99999999980638	1	1	0.999999999647791	0.99999856854488	0.106270271420294	1	2.1621873052726e-16	1	1	0.999995139831922	0.993180638831551	1	1	0.0441190127402248	1	0.999106329911148	1	1	1	1	1	0.180387260607994
migraine disorders	1	1	1	0.999989776073961	0.329599950621458	1	1	1	1	0.999999961851055	1	1	1	1	0.999999998885939	1	1	1	1	0.99999758575013	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.373903844066773	0.999697836022061	1	1	1	1	1	1	1	1	1	0.999999961851055	1	1	0.99999999991396	0.019939883223733	1	1	1	1	1	1	1	1	1	0.999999999530523	1	0.999999758331786	1	1	1	1	1	1	1	1	1
mood disorders	1	1	1	0.999999999997462	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999991072723164	1	0.999963952365507	1	1	1	1	1	1	1	1	1	0.999999999999999	1	1	1	1	1	1	1	1	1	1
mucocutaneous lymph node syndrome	1	1	1	1	3.17833083189776e-06	1	1	1	1	2.89908191832352e-13	1	0.999996278020416	1	0.918071732233027	1	1	1	1	1	1	1	1	0.00808336951433097	1	0.00301543049196629	1	1	1	1	1	1	1	1	8.52019851943927e-06	0.0569991623859466	1	0.991046313312997	1	0.948277795431471	0.948277795431471	1	1	0.00754123511205326	1	1	0.999996278020416	1	2.89908191832352e-13	1	1	0.367840707835879	1	1	3.08193625406528e-17	1	1	1	1	1	1	0.999996278020416	0.998973014914746	1	0.834138304514264	1	1	0.995691442063965	1.37143058128132e-13	1	1	1	1	1
multiple sclerosis	1	1	0.738963065633846	3.38158018018229e-284	0.773788977489231	1	1	1	1	4.06911188271341e-95	1	1	1	1.16627694715308e-32	1	1	1	1	1	0.999999999997118	1	1	1	1	1	1	1	1	0.995198395831394	0.999999999999999	1	0.999999999603192	1	1.80563830285013e-217	1.20584430475978e-28	1	0.99632069560029	0.999998962333113	0.225900927792185	0.225900927792185	0.548865218636408	1	3.93434726271402e-19	0.31298967598018	0.221276863855747	1	0.995198395831394	4.06911188271341e-95	0.221276863855747	1	5.74002267566693e-45	8.39516345413446e-320	1.36451060142032e-07	0.999998893646999	1	0.926442243712751	0.916281052960527	1	0.999995840055574	1	1	1	0.999999978952187	0.999999999999974	1	1	0.99332530983717	8.39516345413446e-320	1	1	1	1	1
