acinar cell	alveolar epithelial cell	amniotic epithelial cell	astrocyte	blood vessel endothelial cell	bronchial epithelial cell	bronchial smooth muscle cell	cardiac fibroblast	cardiac myocyte	cd14+ monocyte derived endothelial progenitor cell	chondrocyte	ciliated epithelial cell	corneal epithelial cell	dendritic cell - monocyte immature derived	endothelial cell of hepatic sinusoid	endothelial cell of lymphatic vessel	enteric smooth muscle cell	epithelial cell of malassez	epithelial cell of prostate	fat cell	fibroblast of choroid plexus	fibroblast of gingiva	fibroblast of lymphatic vessel	fibroblast of periodontium	fibroblast of tunica adventitia of artery	gingival epithelial cell	hair follicle cell	hepatic stellate cell	immature langerhans cell	keratinocyte - epidermal	keratocyte	kidney epithelial cell	lens epithelial cell	lymphocyte of b lineage	macrophage	mammary epithelial cell	mast cell	melanocyte - light	mesenchymal precursor cell	mesenchymal somatic cell	mesenchymal stem cell - adipose	mesenchymal stem cell - amniotic membrane	mesenchymal stem cell - bone marrow	mesenchymal stem cell - hepatic	mesenchymal stem cell - umbilical	mesothelial cell	migratory langerhans cell	monocyte	multipotent cord blood unrestricted somatic stem cell	myoblast	natural killer cell	neuron	neuronal stem cell	neutrophil	osteoblast	pericyte cell	placental epithelial cell	preadipocyte	reticulocyte	retinal pigment epithelial cell	sensory epithelial cell	skeletal muscle cell	skin fibroblast	small airway epithelial cell	smooth muscle cell of prostate	smooth muscle cell of trachea	stromal cell	t cell	tendon cell	trabecular meshwork cell	tracheal epithelial cell	urothelial cell	vascular associated smooth muscle cell
asthma	0	0.000598354859787246	0.000113595088034018	0	0.000143548293310939	0.0161899978997521	0.0198619796702552	0	8.97484988189168e-05	0.00363925663479387	0	0.00650838795407293	0	0.00751350760439831	7.52830694930882e-05	0	0	0	0	7.66267620262671e-05	0	0	0	0	0	0	0	0	0.000172443003784065	0.000177736340769	0	8.48944808065217e-05	0	0.00303715433621274	0.0057684118487862	0	0.0253113497631695	3.22655461386563e-05	0.000517062025158259	0.000517062025158259	9.70359382580757e-05	0	0.00411663701956624	0	0.00014003043149937	0.00650838795407293	0.000172443003784065	0.00363925663479387	0.00014003043149937	8.21630082623325e-05	0.00188800900478546	0.00194151830905171	0	0.0132592532970146	0	0	8.35919071504193e-05	0	0.000118659007644343	0	0.00650838795407293	0.000226202659761644	0.000136165937207762	0.0196514510669018	0	0.00924605238834095	0.00058107285598128	0.0220910915107649	0	0	0.00241193471223485	0	0.00010059748638165
atherosclerosis	0.000370099367995395	0	0	4.23385237523763e-05	0.0330851214511771	0.000118802236715328	0	0.000116215974204554	0.000510263648448786	0.0221815851761174	0.000567138623885931	0.0151229472623545	0	0.00588536304923285	0.00292206427385772	0	0	0	0	0.00480343324649611	0	0	0	0.00012390671929665	0.00505764856470799	0	0	0	0.000188542678489773	9.71651067836911e-05	0	0.000247521131798476	0	0.00171391485798665	0.0358329663193793	0	0.00234710277809974	0	0.00129219685218607	0.00129219685218607	0.000212190872432906	0	0.0149456582816371	0	0	0.0151229472623545	0.000188542678489773	0.0221815851761174	0	0.000449169676664754	0.000854183941953112	0.000322703341069428	0	0.00290444118195207	0.000964664132060911	0.00106922013043795	0.000182792479003023	0.000840841943674598	0	0	0.0151229472623545	0.000211989822311922	0.000476411845432612	0.000360246921107637	0	0	0.00115152321257928	0.00631799221937072	0	0	0	0	0.0287072591473857
attention deficit disorder with hyperactivity	0	0	0	8.91808738329093e-05	0	0	0	0	0	3.12736084217976e-05	0	0.000117285057311417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.43086080483211e-05	0	0	0	0	3.63944326164421e-05	0	0	0.000117285057311417	0	3.12736084217976e-05	0	0	7.49680428976755e-05	0.00161437003614043	0	0	0	0	0	0	0	0	0.000117285057311417	0	0	0	0	0	0	5.51058827729711e-05	0	0	0	0	0
autistic disorder	0	0	0	0.000599207681439615	7.40427487343767e-05	0	0	0	4.62926127093854e-05	0.000280170483307683	0	0.000315216051328499	0.000148098333727389	8.2633164960681e-05	4.85391124291808e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.72981699964408e-05	0	0	0	0.000308823149234653	6.40323205055458e-05	0	0.000402642690998318	8.32134493005468e-05	6.35006033855445e-05	6.35006033855445e-05	0	0	0.000224156863395908	0	0	0.000315216051328499	0	0.000280170483307683	0	0	0.000293831678487316	0.00465040370410815	0.000263976138414805	2.95301063947028e-05	0	0	0	0	0	0	0.000315216051328499	0	0.000210704705203631	0	0	0	4.6831181426207e-05	0.000524531154238865	0	0	0	0	0
behcet syndrome	0	0	0	0	0.000325593776952375	0	0	0	0	0.00179668832045764	0	0.000789320254732186	0	0.000908422659239599	0	0	0	0	0	0	0	0	0	0	0	0.000351339071123384	0	0	0.00130377421228892	0.000167974383271726	0	0	0	0.00115225208208416	0.000782150455753695	0	0.000663964179976871	0.000121973597298488	0	0	0	0	0.00155322727199294	0	0	0.000789320254732186	0.00130377421228892	0.00179668832045764	0	0	0.00196889638814618	0.000331237735860446	0	0.00640617849284018	0	0	0	0	0.000112141802528715	0	0.000789320254732186	0	0	0	0	0	0	0.00581162792972658	0	0	0	0	0
bipolar disorder	0	0	0	0.000675581580807157	5.27242737579186e-05	0	0	0	6.5927978827878e-05	0.000399006938918364	0	0.000112229338235101	0	2.94206636391892e-05	3.45636743020364e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000459804345770799	0	0	0	0	0	0	0	0	0.000319234713254645	0	0	0.000112229338235101	0	0.000399006938918364	0	0	0.000179341129127106	0.0029896247294431	9.39859096619309e-05	0.000399527507623528	0	0	0	0	5.44782687639811e-05	0	0.000112229338235101	5.93447417737596e-05	0.00035008950569731	0	0	0	0	0.000296608920629876	0	0	0	0	0
cardiomyopathies	0	0.000180351303079016	0	2.33432905327575e-05	0.00200759671240028	0	0	0.0145451447821732	0.0610276645297922	0.0016208153319463	3.47434610803661e-05	0.002462109730868	0	0.000888481056285566	0.000272294598312999	0.000203747192334804	0	0	0	0.000615899240219056	0	0	0	0	0.000929509340390707	0	0	0.000204207638554421	5.19763814576085e-05	5.35718564625392e-05	0	0.000204705685761345	0	0.0013649490821515	0.00339252340380687	0	0.00221168685036547	0.00011670265285851	0.00228578051598426	0.00228578051598426	0.000233982328366969	0	0.00206721210264541	0	0.000168827379796717	0.002462109730868	5.19763814576085e-05	0.0016208153319463	0.000168827379796717	0.00391285613761547	0.00166795930696393	0.00110089281685097	0	0.00728894853005747	4.83514842350431e-05	0.00039300876107165	0	9.27194245038978e-05	3.57652424822444e-05	0	0.002462109730868	0.0222462200422225	0.000689506275392059	0.000113498100515879	0	0	0.00190467251978363	0.00574078639719747	0	0	0	0	0.000363855410386842
cardiomyopathy, hypertrophic	0	0	0	0	0	0	0	0.00222457692959577	0.0216276777487024	0.000121799862563407	0	0.000182713854680296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000169213828930862	0	6.50939025048888e-05	7.42322102848742e-05	0	0.000116695196550257	9.64687554384806e-05	7.36157944381209e-05	7.36157944381209e-05	0	0	7.08718487321432e-05	0	0	0.000182713854680296	0	0.000121799862563407	0	0.000245654083029846	4.86624227390624e-05	0.000261975483550927	0	6.84680814413537e-05	0	0	0	0	0	0	0.000182713854680296	0.0155068061930032	8.14228182538622e-05	0	0	0	5.42910530193608e-05	0.000178848590629987	0	0	0	0	0.000150385092968419
cardiovascular diseases	0.000120426547457074	0.000603148815276922	0.000215539199616471	0.00705357947781099	0.015831705868234	0.000103085419286516	0	0.0128194507283873	0.0422834705299063	0.0115688700499258	0.000239219951186751	0.0110242069074418	0.000177058078602296	0.00288015472786166	0.00236586480012636	0.000280573045339533	0.000117498999692129	6.04814347998999e-05	1.79467249344582e-05	0.00303510466148342	0	0.000112101367559515	0.000334623971755839	0.000134393262116334	0.00146285074903112	0.000132259724477496	0	0.000321379553745685	0.000357874173974553	0.000690294272080397	0.000119045105646627	0.00346325627607592	0	0.0101804309308289	0.016176334642735	1.54507332426486e-05	0.00461473974879428	0.000359677776547089	0.00577559013693954	0.00577559013693954	0.00078250703898958	0.000265972863460204	0.0140966172296762	0.000458647385324041	0.000564609361686085	0.0110242069074418	0.000357874173974553	0.0115688700499258	0.000564609361686085	0.0057487718625256	0.00264045578896445	0.0182576340088168	0.0024276545853656	0.0138122232718263	0.00156470325329035	0.00481280051293924	0.000495656685993216	0.000492482456828073	0.0011538817248625	0.000456228606939627	0.0110242069074418	0.0145737972483049	0.00280972915917793	0.00101033046815285	0	0	0.00662389854513325	0.00859496005032913	6.41502490243519e-05	0	5.36307105130599e-05	0.000189645060504609	0.0125740293800076
carotid atherosclerosis	0	0	0	0.000454306598107224	0.0061591018407618	0	0	0.000178148069442058	0.00018050441364047	0.00259455048854041	9.65966374653748e-05	0.00199727480100332	0	0.000510155854600206	3.15439963126909e-05	0	0	0	0	0.000171237389058687	0	0.000113165886747732	0	9.49686262352574e-05	0.00129214928482097	0	0	0	0	3.72362239983005e-05	0	0	0	0.000127714463941765	0.00500737446759709	0	0.000392496656548277	0	0.000536470798175531	0.000536470798175531	0	0	0.00192022553507749	0	0	0.00199727480100332	0	0.00259455048854041	0	0.000619681073687917	0.000136394061832665	0.00169271130970322	0	0.000825198348017562	3.36076965875792e-05	0.000136584423491014	0	0.000257786195050744	0	0	0.00199727480100332	8.12400744491498e-05	4.56433867547348e-05	0	0	0	0.000456511009461458	0.000862215259585147	0	0	0	0	0.0168603472778436
